date,open,high,low,close,volume,average,barCount
2026-02-10 22:15:00,5073.1,5073.7,5068.2,5072.8,202.0,5070.91,179
2026-02-10 22:20:00,5073.6,5082.0,5073.6,5079.6,265.0,5078.29,202
2026-02-10 22:25:00,5079.2,5082.8,5077.6,5080.4,195.0,5080.53,141
2026-02-10 22:30:00,5080.3,5084.5,5077.1,5077.3,245.0,5081.17,213
2026-02-10 22:35:00,5077.3,5080.1,5077.3,5079.0,99.0,5079.34,77
2026-02-10 22:40:00,5080.2,5083.1,5079.5,5082.3,168.0,5081.72,128
2026-02-10 22:45:00,5082.9,5085.0,5081.2,5082.3,232.0,5083.43,166
2026-02-10 22:50:00,5082.2,5082.2,5078.1,5079.0,99.0,5079.88,78
2026-02-10 22:55:00,5078.8,5079.8,5077.3,5079.0,43.0,5078.65,37
2026-02-10 23:00:00,5078.6,5082.7,5078.6,5080.6,170.0,5080.34,109
2026-02-10 23:05:00,5080.6,5080.7,5077.8,5079.3,51.0,5079.42,43
2026-02-10 23:10:00,5079.0,5083.3,5077.3,5081.5,112.0,5079.85,82
2026-02-10 23:15:00,5082.6,5083.5,5081.0,5083.0,87.0,5082.2,71
2026-02-10 23:20:00,5083.0,5083.7,5080.8,5081.7,49.0,5082.5,45
2026-02-10 23:25:00,5081.4,5082.7,5080.5,5082.7,50.0,5081.86,44
2026-02-10 23:30:00,5082.9,5083.5,5081.0,5081.1,49.0,5082.4,36
2026-02-10 23:35:00,5081.0,5083.0,5079.4,5079.4,55.0,5080.99,43
2026-02-10 23:40:00,5079.8,5080.0,5075.0,5076.0,140.0,5077.33,107
2026-02-10 23:45:00,5076.0,5080.3,5074.0,5074.6,220.0,5077.47,166
2026-02-10 23:50:00,5075.0,5075.4,5070.0,5072.6,209.0,5072.24,179
2026-02-10 23:55:00,5072.9,5074.0,5070.1,5070.6,67.0,5072.23,59
2026-02-11 00:00:00,5071.2,5072.4,5068.5,5071.4,169.0,5070.84,150
2026-02-11 00:05:00,5070.8,5072.4,5067.6,5071.5,69.0,5069.84,63
2026-02-11 00:10:00,5071.1,5074.5,5070.9,5072.3,180.0,5072.4,137
2026-02-11 00:15:00,5072.1,5075.8,5070.1,5075.8,150.0,5072.86,124
2026-02-11 00:20:00,5075.7,5076.4,5073.0,5073.4,55.0,5074.98,51
